Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,http://192.168.100.38:30946/,246,246,60002,60012.59349593496,60002,60033,0.0,0.17819189313990547,0.17819189313990547,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,http://192.168.100.38:30946/?page_id=1002,129,129,60001,60013.635658914725,60001,60037,0.0,0.09344209030507239,0.09344209030507239,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,http://192.168.100.38:30946/?page_id=1004,56,56,60002,60013.80357142857,60002,60035,0.0,0.040564008194450024,0.040564008194450024,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,http://192.168.100.38:30946/?post_type=product,160,160,60002,60012.58125,60002,60034,0.0,0.11589716626985722,0.11589716626985722,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,http://192.168.100.38:30946/?post_type=product&paged=2,142,142,60001,60013.67605633803,60001,60035,0.0,0.10285873506449829,0.10285873506449829,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,http://192.168.100.38:30946/?post_type=product&paged=3,148,148,60001,60013.56081081081,60001,60036,0.0,0.10720487879961793,0.10720487879961793,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,881,881,60001,60013.15777525539,60001,60037,0.0,0.6381587717734013,0.6381587717734013,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
